Day,Susceptible,Infected,Symptomatic,Infected travel,Sum travels,Recovered
1,563474,10,0,5,241010,0
2,563474,10,0,5,240511,0
3,563470,14,0,7,240877,0
4,563466,18,0,7,240833,0
5,563465,19,0,10,240571,0
6,563461,23,0,13,241027,0
7,563450,34,0,17,240787,0
8,563443,31,6,13,241409,4
9,563436,37,9,15,241138,2
10,563430,40,10,16,240995,4
11,563424,41,11,13,241303,8
12,563417,44,14,14,241509,9
13,563409,42,12,10,240659,21
14,563400,46,13,10,241534,25
15,563384,56,16,13,241138,28
16,563366,68,15,14,240787,35
17,563352,77,14,19,241145,41
18,563328,93,12,19,241391,51
19,563306,109,26,22,240824,43
20,563265,142,32,37,241560,45
21,563218,175,38,45,241017,53
22,563183,194,43,53,240943,64
23,563133,227,59,62,240921,65
24,563081,265,80,79,241630,58
25,563032,292,89,107,240850,71
26,562977,308,85,118,241743,114
27,562935,302,78,123,240730,169
28,562886,318,94,136,240632,186
29,562848,314,97,138,240659,225
30,562799,308,99,142,240487,278
31,562753,300,92,141,240694,339
32,562702,296,91,141,241275,395
33,562650,303,93,150,241081,438
34,562599,309,94,146,241247,482
35,562528,338,97,151,241288,521
36,562460,364,98,153,240834,562
37,562372,403,95,159,240769,614
38,562274,454,115,163,240989,641
39,562168,511,127,182,240765,678
40,562035,590,148,198,241033,711
41,561902,660,161,203,240669,761
42,561732,770,189,222,240525,793
43,561552,874,220,245,241355,838
44,561352,981,241,267,241447,910
45,561120,1101,271,305,241026,992
46,560880,1226,326,337,241058,1052
47,560614,1364,374,387,240431,1132
48,560331,1494,420,435,240712,1239
49,559967,1673,457,492,240480,1387
50,559593,1866,500,555,241077,1525
